Image#., Detector_Type, Descriptor_Type, Keypoints, Keypoints(Proceeding Vehical), (Detector)Elapsed_Time, (Descriptor)Elapsed_Time, Matches, MATCHER ELAPSED TIME
8, FAST, ORB, 1749, 138, 1.19012, 1.36635, 123, 0.854146
9, FAST, ORB, 1770, 143, 1.22938, 1.29685, 119, 0.820071

0, FAST, FREAK, 1824, 149, 1.24618, 48.7835, 0, 0
1, FAST, FREAK, 1832, 152, 1.22627, 48.7457, 98, 1.18661
2, FAST, FREAK, 1810, 150, 1.20687, 45.7711, 99, 1.19149
3, FAST, FREAK, 1817, 155, 1.2085, 45.5311, 91, 1.08945
4, FAST, FREAK, 1793, 149, 1.23019, 45.4832, 98, 1.07189
5, FAST, FREAK, 1796, 149, 1.26013, 45.3643, 85, 1.14721
6, FAST, FREAK, 1788, 156, 1.29473, 46.4505, 99, 1.08817
7, FAST, FREAK, 1695, 150, 1.23128, 45.747, 102, 1.06295
8, FAST, FREAK, 1749, 138, 1.23915, 46.2187, 101, 0.993146
9, FAST, FREAK, 1770, 143, 1.22528, 45.928, 105, 0.965388

0, FAST, SIFT, 1824, 149, 1.28381, 27.237, 0, 0
1, FAST, SIFT, 1832, 152, 1.3648, 26.8401, 118, 1.45973
2, FAST, SIFT, 1810, 150, 1.23192, 26.7131, 123, 1.43369
3, FAST, SIFT, 1817, 155, 1.20001, 27.8532, 110, 1.46628
4, FAST, SIFT, 1793, 149, 1.12557, 33.1178, 119, 1.51852
5, FAST, SIFT, 1796, 149, 1.16656, 27.1039, 114, 1.47852
6, FAST, SIFT, 1788, 156, 1.28054, 26.7721, 119, 1.48758
7, FAST, SIFT, 1695, 150, 1.16979, 26.0949, 123, 1.45287
8, FAST, SIFT, 1749, 138, 1.19252, 25.2976, 117, 1.33768
9, FAST, SIFT, 1770, 143, 1.22279, 25.3955, 103, 1.28068

0, BRISK, BRISK, 2757, 264, 44.3703, 3.26862, 0, 0
1, BRISK, BRISK, 2777, 282, 44.8188, 3.41825, 171, 2.21829
2, BRISK, BRISK, 2741, 282, 42.933, 3.36868, 176, 2.28665
3, BRISK, BRISK, 2735, 277, 44.596, 3.35601, 157, 2.32973
4, BRISK, BRISK, 2757, 297, 45.7705, 3.47185, 176, 2.36993
5, BRISK, BRISK, 2695, 279, 42.3919, 3.41606, 174, 2.51928
